codigo;produto;valor_centavos;cidade
PED-2026-00123;Fone Bluetooth XZ-9;46990;Campinas
PED-2026-00124;Mouse Sem Fio;8990; santos
PED-2026-00125;Teclado Mecânico;abc;CAMPINAS
PED-2026-00126;"Cabo HDMI, 2 metros";9890;Sorocaba
PED-2026-00127;Webcam HD;47890;campinas
PED-2026-00128;Headset Gamer;34900;São Paulo
PED-2026-00129;Monitor 24;129900
PED-2026-00130;Suporte de Mesa;12990;Santos
PED-2026-00131;Hub USB-C;15990;são paulo
PED-2026-00132;Mousepad Grande;4990;Campinas
PED-2026-00133;Cadeira Ergonômica;89900;
PED-2026-00134;Luminária LED;23900;Santos
PED-2026-00135;Filtro de Linha;3990;Campinas
